ITEMID,DESCRIPTION,COMMODITYCODE,COST ,COSTUM
R3047,"Meg-3 2014TG Oil (EPA 180mg/g, DHA 120mg/g)",Animal,9.25,kg
R3056,Orange Juice Powder (Spray Dried),BotExtract,9.37,kg
R3057,Dried Cranberry Powder,Botanical,30.975,kg
R3065,CitriSweet- TM,Flavor,40,kg
R307,Hawthorn Berry Powder (Crataegus Spp.),Botanical,7.25,kg
R3076,Orange Fruit Powder,Botanical,38.429,kg
R3083,"Tribasic Calc Phos, Low Al, Ultr-Kosher",Mineral,9.92,kg
R3085,Choline Bitartrate Conditioned - Kosher,Nutrition,22.11,kg
R3090,Triple Berry SD Natural - Kosher,Flavor,65.03,kg
R3091,Raspberry Extract 4:1,BotExtract,54.76,kg
R3096,Cucumber Flavor,Flavor,25.1,kg
R3097,Lime Crystalettes,Flavor,23.35,kg
R3100,Rhodiola Rosae Extract 4:1,BotExtract,72,kg
R3101,Turmeric Extract 20% Curcumin,BotExtract,86,kg
R3102,Purple Carrot Extract,BotExtract,22,kg
R3107,"Chocolate Flavor, WONF, MET0001923",Flavor,37.75,kg
R3108,"Cocoa Ext Powder, Theobroma cacao",BotExtract,66,kg
R3110,"Natural Coconut Flavor, MET0000607",Flavor,36,kg
R3113,Citrus Extract,Flavor,460,kg
R3115,Natural Vanilla Type Flavor - Halal,Flavor,17.2,kg
R3117,Red Orange Complex  H,BotExtract,283,kg
R3118,Grape Seed Dry Extract,BotExtract,96,kg
R3119,13% Glucoraphanin Powder - Halal,BotExtract,440,kg
R3123,OptiMSM  Microprill,Nutrition,21,kg
R3124,Alfalfa Juice Concentrate - Kosher,BotExtract,18,kg
R3126,FD&C Blue No. 1 Aluminum Lake,Color,57.42,kg
R3148,Tribulus Terrestris Extract,BotExtract,33,kg
R3150,ID-alG - Seaweed and Grape Seeds Powder,BotExtract,167,kg
R3152,Zinc Oxide Encapsulated  39.4% Zn,Mineral,22.53,kg
R317,Horsetail Herb Powder (Shave Grass),Botanical,12.7,kg
R318,Horsetail Dry Extract 7% Silica,BotExtract,36.08,kg
R319,Methocel* F4M,Excipient,51.41,kg
R3204,"BroccoPhane , Standard Broccoli Sprout",BotExtract,120,kg
R3205,"Chaste Tree Berry Extract, 0.5% Anguside",BotExtract,60,kg
R3206,Milk Protein Concentrate - FOOD ONLY,Protein,12.24,kg
R3208,Isomalto-oligosaccharide Powder-Kosher,Fiber,3.25,kg
R3209,Apple Fruit Powder,Botanical,13.58,kg
R3210,Opadry 05A190000 Clear 0.50%,Coating,57.84,kg
R3213,"Schisandra Extract, WADA",BotExtract,35,kg
R3214,Rhaponticum carthamoides Extract,BotExtract,280,kg
R3215,Opadry Clear 20B19225,Coating,54.34,kg
R3216,Garcinia cambogia Extract Powder 50%,BotExtract,11.4,kg
R3217,Magnesium Stearate - Kosher (RSPO),Excipient,14.98,kg
R3221,"Tri Sodium Citrate Dihydrate, 20.4% Sodi",Mineral,3.17,kg
R3224,"Cupric Oxide, 38.7% Cu, Encapsulated",Mineral,43.38,kg
R3226,"Ferrous Citrate, 20% Iron",Mineral,44.93,kg
R3227,"Suma Root PE 4:1, P. paniculata, WADA",Botanical,47.5,kg
R3228,"Selenium Trit, 2.0% Se",Mineral,31.97,kg
R3229,Red Orange Complex  H W,BotExtract,310,kg
R3237,Natural & Artificial Fruit Punch Flavor,Flavor,28.97,kg
R3238,Opadry  II Yellow 3% weight gain,Coating,37.95,kg
R324,Indole-3-Carbinol 94.0%,Nutrition,187,kg
R3255,L-Citrulline,AminoAcid,8.95,kg
R3256,"Dry Vitamin A Palmitate, 250,000 IU/g -",Vitamin,71.75,kg
R3257,Oat Powder,Fiber,2.43,kg
R3258,Beatreme (Corn Oil Shortening),Fat/Facid,14.43,kg
R3259,Non Fat Dry Milk Low Heat,Protein,2.18,kg
R3262,"Vitamin D3, cholecalciferol 100 CWS",Vitamin,76,kg
R3263,"NS Enteric  Additive For Coating, White",Coating,75.6,kg
R3265,Kelp Extract,Botanical,40,kg
R3267,Ticaloid  Ultrasmooth,Excipient,28.59,kg
R327,Inositol  Granular FCC NLT 97% as is,Nutrition,18.75,kg
R3271,Pisane  C9 Pea Protein Isolates NLT 80% (Customer Exclusive),Protein,7.56,kg
R3272,"Sodium Iodide, 83.8% Iodine",Mineral,112.95,kg
R3273,Natural Vanilla Flavor WONF Kosher,Flavor,48.192,kg
R3298,"Licorice Root Extract, 26% glycrrhizic",BotExtract,24,kg
R3299,Tara Gum,Botanical,37.73,kg
R330,Ferrous Sulfate Monohydrate 32%,Mineral,11.023,kg
R3335,Vitamin A-Acetate 325 GFP/E,Vitamin,30,kg
R3336,Boswellia serrata Powdered Extract,BotExtract,38.5,kg
R3338,L. Acidophilus 200 BU,Probiotic,510.85,kg
R3339,Tongkat Ali 100:1,BotExtract,39.5,kg
R3340,"Silbinol , Pterostilbene 90%",BotExtract,1200,kg
R3341,Tribulus PE 4:1,BotExtract,12,kg
R3344,Shilajit Extract  8-10:1,BotExtract,60,kg
R3345,Amla PE,BotExtract,35,kg
R3346,Mucuna pruriens Root Ext.,BotExtract,29,kg
R3347,Kiwi Fruit Powder,BotExtract,44.53,kg
R3348,Wolfberry (Goji) Ext.,BotExtract,18,kg
R3349,Snow Rose Leaf Ext. (Rhododendrom chrysa,BotExtract,26,kg
R335,Kale Powder,Botanical,16.98,kg
R3353,D-Alpha Tocopheryl Succinate 1210 IU,Vitamin,60,kg
R3355,Grape seed extract (Vitis vinifera),BotExtract,88,kg
R3357,Bacopa leaf extract (Bacopa monnieri),BotExtract,44,kg
R3358,Green tea extract (Camelia sinensis),BotExtract,42,kg
R3360,Black tea leaf extract (Camelia sinensis,BotExtract,25.5,kg
R3361,White tea extract (Camelia sinensis),BotExtract,51,kg
R3363,Red raspberry fruit extract (Rubus idaeu,BotExtract,18.5,kg
R3366,Quercetin,BotExtract,121,kg
R3367,Bilberry fruit extract (Vaccinium murtil,BotExtract,49.56,kg
R3368,Asian ginseng aerial extract (Panax gins,BotExtract,149,kg
R3369,Pomegranate fruit extract (Punica granat,BotExtract,43.85,kg
R3372,Boswelia serrate - Halal,BotExtract,38,kg
R3374,Resveratrol,BotExtract,150,kg
R3376,Chia seed extract (Salvia hispanica),BotExtract,35,kg
R338,Kelp Powder Atlantic,Botanical,8.33,kg
R3382,R-Alpha Lipoic Acid,AminoAcid,280,kg
R3384,Hibiscus Flower Ext 4:1,BotExtract,24.01,kg
R3385,Blueberry  Fruit 4:1,BotExtract,36,kg
R3386,"Bacopa Ext., Bacopa monnieri 15:1",BotExtract,38.7,kg
R3387,"Ribonucleic Acid, Sodium Salt, 72% RNA",Nutrition,102.72,kg
R3391,Qwik-Flo Honey Powder,Excipient,3.65,kg
R3401,"Choline Bitartrate Encapsulated, 36% Cho",Nutrition,33.07,kg
R3405,L-Ornithine HCl (plant derived),AminoAcid,55,kg
R3408,Natural Punch Flavor (Hawaiian Type),Flavor,68.1,kg
R3420,Solka-Floc  200 FCC,Excipient,4.27,kg
R3422,"Nattokinase (20,000 FU/g)",Enzyme,1500,kg
R3424,Natural Vanilla Flavor WONF,Flavor,23.73,kg
R3425,Guggulipid 2.5%,BotExtract,80,kg
R3426,Cocoa Powder Natural 10/12 Fat - Organic,Botanical,12.5,kg
R3427,Chia Seed (Salvia hispanica),Botanical,8.04,kg
R3431,Bifidobacterium longum 100 Billion CFU/g  Bl-03,Probiotic,330.17,kg
R3432,Truvia  Stevia Leaf Extract RA95 Kosher,BotExtract,185,kg
R3433,Bifidobacterium bifidum 100 Billion,Probiotic,337,kg
R3434,CapsuDar  D3 100CWS,Vitamin,24,kg
R3437,Pre-hydrated  Ticalose  CMC 2500 Powder,Excipient,18.56,kg
R3439,D-Aspartic Acid 95%,AminoAcid,17.5,kg
R3442,Alive! FDM Men's Pre-Mix,Vitamin,45.15,kg
R3445,Mangosteen Extract (Garcinia mangostana),BotExtract,23.5,kg
R3448,Resvida Trans-resveratrol 99%,BotExtract,660.65,kg
R3455,Creatine HCl 95%,AminoAcid,38.4,kg
R3459,Freeze Dried Beef Liver Powder,Animal,58.18,kg
R3464,"Milk Protein Isolate 4900, 84.9% Protein-Halal",Protein,12.755,kg
R3465,"Green Tea Leaves, 15% EGCG, 8% Caffeine",Botanical,14.25,kg
R3467,"Cyracos  Lemon Balm, Melissa officinalis",BotExtract,135,kg
R347,Panax Ginseng Root Powder,Botanical,61,kg
R3470,Kre-Alkalyn  Buffered Creatine 99.9%,AminoAcid,52,kg
R3472,AstraGin ,BotExtract,310,kg
R3475,CarnoSyn  beta-Alanine 99%,AminoAcid,24,kg
R3477,Chia seed,Botanical,9.5,kg
R3479,Ascorbic Acid Ultra Fine Powder 99%,Vitamin,49.29,kg
R3480,Carocare  Natural Beta-Carotene 10% CWS,Vitamin,290,kg
R3481,Folic Acid 97%,Vitamin,275,kg
R3482,Thiamine Mononitrate,Vitamin,53,kg
R3483,Natural Vanilla Flavor WONF 6500A PDR,Flavor,31.981,kg
R3484,Natural Cream Type Flavor 6499A,Flavor,22.276,kg
R3485,Natural Dark Chocolate Flavor WONF 6501A,Flavor,28.88,kg
R3488,"Elderberry PE 4:1, Sambucus nigra L.",BotExtract,21,kg
R3490,Natural Lemonade Yellow Powder,Color,22.046,kg
R3491,Natural Mixed Berry Powder #113209P,Flavor,29.7,kg
R3493,"SolaThin , Potato Protein Powder",Protein,110,kg
R3502,Cream Buds - Asia,Flavor,10.67,kg
R3503,Milk Buds - J,Flavor,5.45,kg
R3504,Quercetin Anhydrous Granular 95%,BotExtract,74,kg
R3505,Xanthan Gum FF 200 mesh (Customer Specified),Fiber,23.57,kg
R3507,Natural & Artificial French Vanilla Flav,Flavor,25.46,kg
R351,"N-Acetyl-L-Cysteine, 98%, (Kosher)",AminoAcid,17,kg
R3510,Cellulose Gum - Halal,Fiber,30.55,kg
R3512,"Whey Protein Concentrate Instant, 80% Pr",Protein,7,kg
R3514,"Vitamin B12, Cyanocobalamin USP, 1% DCP",Vitamin,72,kg
R3517,Natural Chocolate Powder WONF,Flavor,14.5,kg
R3518,"Natural Type Cream SD 4X - Kosher, Halal",Flavor,17.1,kg
R352,L-Alanine USP,AminoAcid,13.8,kg
R3520,Natural Type Vanilla Powder 4X - Kosher,Flavor,38.45,kg
R3521,"Xanthan Gum Merezan Type 20, 200m Kosher",Fiber,13.15,kg
R3522,Natural Vanilla Oleoresin SD,Flavor,357.6,kg
R3523,Natural Type Vanilla Bean SD,Flavor,38.42,kg
R3524,"Sea Salt - Kosher, Halal (Customer Specified)",Mineral,1.529,kg
R3525,Tapioca Maltodextrin 10 DE - Kosher,Food,2.71,kg
R3527,Rebaudioside A (Enliten TM) - Kosher/Ingredion (Customer Specified),BotExtract,70,kg
R353,"L-Arginine Hydrochloride 98.5%, 82% Argonine (Customer Specified), WADA",AminoAcid,11.88,kg
R3530,Green Tea Ext 50% EGCG,BotExtract,33.9,kg
R3533,VitaBerry  Organic Fruit Blend,Botanical,80.58,kg
R3537,Natural Salt Masking Flavor,Flavor,39.68,kg
R3538,"TruCal  D50, calcium and mineral complex",Mineral,9.92,kg
R3539,Organic VitaVeggie ,Botanical,57,kg
R354,L-Carnitine L-Tartrate 68% carni- Kosher,AminoAcid,22,kg
R355,"L-Glutamic Acid 99%, Vegetarian",AminoAcid,8.5,kg
R3552,FD&C Red #40,Color,25.35,kg
R3559,"Purple Corn, Zea mays L., 7.5% Anthocyan",BotExtract,265,kg
R3560,"Resveratrol, 50% trans-resveratrol",BotExtract,96.3,kg
R3561,Alphabeads  7.5% Total Carotenoids Type,Vitamin,353,kg
R3567,Calcium Chloride Dihydrate 97%,Mineral,8.289,kg
R3568,"SelenoExcell  High Selenium Yeast, 0.115",Mineral,39.75,kg
R357,"L-Glutathione, reduced (Kosher)",AminoAcid,380,kg
R3573,L-Arginine Mono HCl - Vegetarian,AminoAcid,17,kg
R3574,"Citrus Bioflavonoid Complex, 50% Total B",BotExtract,36.58,kg
R3575,"Capsicum Fruit Powder, Capsicum annuum L",Botanical,11,kg
R358,L-GLYCINE,AminoAcid,17.99,kg
R3587,Opadry II Clear - 52U19258,Coating,62.16,kg
R3588,Turmeric VDE 95% NLT 75% Curcumin,BotExtract,154,kg
R3589,Phyllanthus Niruri,BotExtract,308.75,kg
R359,L-Histidine HCL H2O 99% (73%His 90.2%HCL,AminoAcid,52.88,kg
R3590,Sesame Seed Extract,BotExtract,720,kg
R3594,Bacillus Coagulans 15B CFU/g,Probiotic,120,kg
R3596,L-Leucine 98.5% - Vegetarian,AminoAcid,75,kg
R3597,L-Cysteine HCl Mono 98.5% - Vegetarian,AminoAcid,18.11,kg
R3599,Natural Chocolate Flavor WONF Kosher (Customer Specified),Flavor,13.382,kg
R3601,Mocha Natural Type Flavor,Flavor,26.75,kg
R3602,Sesame Toasted WONF MET0001498,Flavor,16.9,kg
R3604,Peanut Natural Flavor MET0001472,Flavor,13.2,kg
R3605,Peanut Natural Flavor Type MET0003796,Flavor,37.2,kg
R3608,Natural & Artificial Prosweet Flavor Pow,Flavor,27.01,kg
R3611,Sesame Toasted WONF MET0001499,Flavor,15.95,kg
R3614,Digezyme  Multi-enyzme Complex,Enzyme,75,kg
R3616,CinSulin  Cinnamon Bark Extract,BotExtract,225,kg
R3619,Aminogen ,Enzyme,116.6,kg
R362,"L-Ornithine HCL NLT 99%, 78% L-Ornithine, WADA",AminoAcid,25.5,kg
R3626,Propulse-N  Pea Protein Isolate Kosher,Protein,7.2,kg
R3628,Vanilla Flavor WONF SD,Flavor,37.48,kg
R363,L-Proline,AminoAcid,17.5,kg
R364,L-Serine 98.5% - Vegetarian,AminoAcid,34.11,kg
R3640,Vegotein Pea Protein 75% pro as-is Kosher,Protein,7.6,kg
R3641,Creatine Monohydrate 200 mesh,AminoAcid,5.93,kg
R3642,L-Leucine 98.5% - Vegetarian,AminoAcid,18.8,kg
R3644,DriZoom  Nat Chocolate Flavor WONF,Flavor,46.75,kg
R3647,L-Isoleucine 98.5% - Vegetarian,AminoAcid,30,kg
R365,L-Taurine 98% (Kosher),AminoAcid,2.7,kg
R3651,Ferrous Gluconate 10.9% Powder,Mineral,16.87,kg
R3652,Natural Caramel Flavor WONF,Flavor,23.2,kg
R3655,CranRich  Extract 36:1,BotExtract,32.95,kg
R3657,Cransmart  18% Proanthocyanidins,BotExtract,465,kg
R366,L-Threonine - Chinese UPS/FCC,AminoAcid,9.75,kg
R367,L-Tyrosine USP 98%,AminoAcid,11.5,kg
R3670,Cranbumycin  Cranberry Concentrate Gran,BotExtract,54.5,kg
R3677,Chia Seed Powder - Kosher,Botanical,28.63,kg
R3680,Whole Grain Brwn Rice Milk Pwd Kosh FOOD,Nutrition,6.61,kg
R3683,"Pumpkin Powder - Kosher, FOOD ONLY",Botanical,46.7,kg
R3684,Red Beet Juice Granule,BotExtract,14.5,kg
R3686,Broccoli Sprout Pwder- Kosher,Botanical,84,kg
R3687,Cauliflower Sprout Powder - Kosher,Botanical,95,kg
R3689,Kale Sprout Powder - Kosher,Botanical,95,kg
R3690,Cabbage Sprout Powder - Kosher,Botanical,84,kg
R3691,Kerry Kreem Sunflwr Oil Cream KosherFOOD,Fat/Facid,6.66,kg
R3696,PUREFRUIT Select Monk Fruit Extract (Customer Specified)- FOOD ONLY-Kosher,BotExtract,500,kg
R3698,Natural Vanilla Flavor WONF SD,Flavor,48.678,kg
R3699,Collard Greens Powder - FOOD ONLY,Botanical,41.56,kg
R370,"Lactase 20,000 ALU/gm - Kosher",Enzyme,104.48,kg
R3700,Cilantro Powder,Botanical,12,kg
R3705,Green Coffee Ext 50% Chlorogenic Acids,BotExtract,33,kg
R3707,Vegetable Juice Color 6530,Color,147.71,kg
R3708,2.5% Natural Astaxanthin Complex Beadlets,Nutrition,525,kg
R3709,Natural Masking Agent Flavor Blend,Flavor,8.33,kg
R3710,Natural Berry Flavor WONF,Flavor,59.745,kg
R3711,Vanilla Powder,Flavor,92.59,kg
R3722,"Green Tea Leaf Extract, 50% Polyphenols, WADA",BotExtract,12,kg
R3725,Pineapple Juice Powder,BotExtract,10.5,kg
R3726,Frutafit  IQ Inulin,Fiber,5.45,kg
R3727,"Heat Treated Rice Bran, Oryza Sativa Kosher",Botanical,1.93,kg
R3735,Grape Seed Extract 95% Proanthocyanidins,BotExtract,23,kg
R3738,Apple Fruit Powder,Botanical,6.59,kg
R3739,Dark Sweet Cherry Fruit Powder,Botanical,28.8,kg
R3743,Natural Cherry Flavor WONF SD #218,Flavor,49.891,kg
R3744,Pear Pulp Powder,Botanical,16,kg
R3745,Carrot Powder,Botanical,26.49,kg
R3746,Mangosteen Fruit Powder,Botanical,20.25,kg
R3747,Tangerine Powder,Botanical,19.73,kg
R3748,Noni Fruit Powder,Botanical,26.96,kg
R3749,Grape Powder,Botanical,26.512,kg
R3750,Natural Raspberry Flavor WONF,Flavor,78.6,kg
R3751,Natural Pear Flavor WONF,Flavor,58.845,kg
R3755,Kaneka Q10  Coenzyme Q10 98%,Nutrition,625,kg
R3755S,Kaneka Q10  Coenzyme Q10 98%,Nutrition,485,kg
R3757,Freeze Dried Cantaloupe Powder,Botanical,18.4,kg
R3759,Lactobacillus reuteri 100 Billion CFU/g,Probiotic,385,kg
R3760,Natural Orange Flavor SD,Flavor,43.34,kg
R3762,Blackberry Fruit Powder,Botanical,29.03,kg
R3763,Green Tea Extract 50% Polyphenols,BotExtract,31.35,kg
R3764,Red Clover Powder,Botanical,22.05,kg
R3765,Sunrise SL P  - Soy Lecithin,Nutrition,23.19,kg
R3768,Pomegranate Fruit PE 4:1,BotExtract,16,kg
R3769,Guava Fruit Powder,Botanical,31.05,kg
R3770,Freeze Dried Passion Fruit Powder,Botanical,20.95,kg
R3771,Freeze Dried Star Fruit Powder,Botanical,40.58,kg
R3772,Freeze Dried Apricot Powder,Botanical,31.05,kg
R3778,Raspberry Powder - Kosher,Botanical,48.5,kg
R3779,Blackberry Powder - Kosher,Botanical,56.5,kg
R3783,"Morello Cherry Juice Gran - Kosher, FOOD",BotExtract,21.5,kg
R3785,Tomato Pulp Powder - Kosher,Botanical,14.25,kg
R3787,"Passion Fruit Powder - kosher, FOOD",Botanical,41.44,kg
R3788,Watermelon Fruit Powder - Kosher,Botanical,44.68,kg
R379,Licorice Root Powder,Botanical,10.98,kg
R3791,"Coconut Palm Sugar - Kosher, FOOD",Excipient,4.55,kg
R3793,"Quercetin Dihydrate Powder, 83% as-is",BotExtract,56,kg
R3799,Papaya Fruit Juice Powder,BotExtract,51.91,kg
R3806,"Cinnamon Bark Extract, 8% Flavonoids",BotExtract,68,kg
R3807,"Magnesium Carbonate, 24.1% Mg",Mineral,6.25,kg
R381,"Lipase 8X, NLT 10,500 USP Units/g",Enzyme,145,kg
R382,"Lipase 5,000 FIP/g, 50,000 LU/g (Non-GMO)",Enzyme,30.8,kg
R3822,Organic Alfalfa Grass Powder (Customer Exclusive),Botanical,11.11,kg
R3823,Spirulina Powder - Kosher,Botanical,25.34,kg
R3825,Propolis Extract,Nutrition,12,kg
R3827,Corn Starch NF,Excipient,1.13,kg
R3830,Beet Powder,Botanical,8.3,kg
R3838,"BCM-95  Curcuma longa, 95% curcuminoids",BotExtract,255,kg
R3841,Natural Orange Juice Powder,BotExtract,13.07,kg
R3847,"Green Coffee PE 50% Chlorogenic Acid, Coffea arabica",BotExtract,32,kg
R3850,Sunflower Oil Powder - Kosher,Botanical,19.85,kg
R3854,Waxy Rice Starch,Excipient,5.86,kg
R3856,Rice Protein Isolate 80% Protein,Protein,6.69,kg
R3857,Sucrose,Nutrition,3.31,kg
R3859,PharmaGABA  80%,Nutrition,490,kg
R3861,Natural Spray Dried Hibiscus Powder,BotExtract,36.55,kg
R3865,Natural Apple Flavor,Flavor,18.74,kg
R3866,Natural Apple Flavor,Flavor,68.211,kg
R3867,"Exberry Shade ""Blue Powder"" 60000002-Spriulina-Exberry Shade ""Sky Blue Powder"" 60930001-Spirulina",Color,48.42,kg
R3869,"Choline Dihydrogen Citrate, 34.5% Cholin",Nutrition,10.99,kg
R3870,Taurine Granular 98.5% - Kosher,AminoAcid,4.2,kg
R3872,N&A Watermelon Flavor,Flavor,15.44,kg
R3874,Calcium Caseinate,Protein,25.35,kg
R3875,Natural Strawberry Jammy Flavor,Flavor,63.117,kg
R3881,"Mixed Tocopherols, d-alpha NLT 50mg/g - Kosher",Vitamin,85,kg
R3883,InSea2  - 20 Brown Seaweed,BotExtract,255,kg
R3886,Green Tea Extract 20:1,BotExtract,23,kg
R3887,Cocoa Extract Powder 12% Theobromine,BotExtract,44.65,kg
R3895,Opadry II Pink 57U140052 -6% Weight Gain,Coating,56.17,kg
R3896,Opadry II Purple 59U100002 - 3% Wgt Gain,Coating,66.31,kg
R3898,Betaine HCl 98%,Nutrition,9.5,kg
R3899,PhosphatidylSerine (PS) 20% (Customer Specified),Nutrition,82,kg
R3900,Alpha-Glyceryl Phosphoryl Choline 50%,Nutrition,145,kg
R3904,Cranberry Extract 10% Proanthocyanidins*Theralogix Exclusive*,BotExtract,345,kg
R3905,DriZoom  Nat Strawberry Flavor WONF,Flavor,53.79,kg
R3906,"Vit A Palmitate 250M IU/g - Kosher, Veg",Vitamin,53.33,kg
R3907,Bovine Collagen Peptides,Protein,12.5,kg
R3909,Natural Raspberry Flavor Powder WONF,Flavor,24.25,kg
R3912,Fructooligosaccharides 90.3% (as is) - K,Fiber,8,kg
R3913,Fructose (Crystalline Corn Sweetener USP) Powder-Non-GMO,Excipient,2.76,kg
R3914,Comprecel  MCC M102,Excipient,4.25,kg
R3915,BioVin  French Red Grapes Extract 5%,BotExtract,175.8,kg
R3918,"Sprout & Grains Blend - Kosher, FOOD N755.4",Food,25,kg
R3919,Curcumin C3 Complex DC 95% Curcuminoids - Kosher,BotExtract,127,kg
R3921,Chocolate Flavor WONF- Kosher,Flavor,20.15,kg
R3922,Whey Protein Concentrate - Kosher,Protein,12.45,kg
R3923,Whey Protein Isolate - Kosher,Protein,24.25,kg
R3926,"Garbanzo Bean Powder, FOOD - Kosher",Food,2.93,kg
R3927,Natural Milk Chocolate Flavor - Kosher,Flavor,18.5,kg
R3929,"Pumpkin Powder, FOOD - Kosher",Food,8.82,kg
R3930,Natural Vanilla Flavor WONF - Kosher,Flavor,16.5,kg
R3931,Natural Vanilla Type Flavor - Kosher,Flavor,17.98,kg
R3934,Flavorsweet GF (Natural Flavor),Flavor,46.42,kg
R3935,Acerola Juice PE 25% Vitamin C,BotExtract,21,kg
R3936,Natural Vanilla Flavor WONF - Kosher,Flavor,37.15,kg
R3937,Zinc Ascorbate 13.5% Zn,Mineral,21,kg
R394,"Magnesium AAC Buffered, 18% Mg",Mineral,23.12,kg
R3940,"Soy Fiber, FOOD ONLY - Kosher",Food,7.23,kg
R3943,"Beta Carotene 15% CWD SD 250,000 IU/g (Customer Specified)",Vitamin,182.63,kg
R3944,"Yucca Pure Powder, FOOD ONLY - Kosher",Food,18.5,kg
R3947,"Soy Protein Isolate, FOOD - Kosher",Food,5.6,kg
R3948,Natural Blueberry Flavor WONF,Flavor,17.36,kg
R3951,Natural Brown Sugar Flavor WONF,Flavor,40.234,kg
R3955,Cocoa Powder w/ Alkali,Food,14.065,kg
R3958,D-Chiro-Inositol 95%,BotExtract,325,kg
R3960,"Sodium Bicarbonate, 27.37% Na",Mineral,1.39,kg
R3962,Pomegranite Polyphenol Extract,BotExtract,150,kg
R3963,White Tea Extract,BotExtract,23.85,kg
R3964,Caralluma Fimbriata Extract,BotExtract,180,kg
R3965,Natural Ripe Strawberry Type Flavor,Flavor,17.8,kg
R3967,Lutein 10% Beadlet - Kosher,Nutrition,170,kg
R3970,Organic Turmeric Root Powder,Botanical,12.5,kg
R3971,Organic Schisandra Extract 2% Schisandrins,Botanical,50,kg
R3972,Glucomannan - Kosher,Fiber,22,kg
R3973,"Lalmin VitaD 2M Yeast 20,000 IU/g - Kosher",Vitamin,119.5,kg
R3974,Lalmin Vitamin B-Complex,Vitamin,45,kg
R3975,Lalmin Iodine Yeast 0.35% Iodine,Mineral,46.83,kg
R3976,Lalmin Manganese Yeast 5% Mn,Mineral,46.16,kg
R3977,Lalmin Zinc Yeast 5% Zn,Mineral,27.65,kg
R3978,Lalmin Chromium Yeast 0.2% Cr,Mineral,38,kg
R3979,Lalmin Selenium Yeast 0.2% Se,Mineral,34.23,kg
R3980,Lalmin Magnesium Yeast 4% Mg,Mineral,50.35,kg
R3981,Lalmin Molybdenum Yeast 0.2% Mo,Mineral,33.19,kg
R3985,Sunflower Oil Creamer,Botanical,12.28,kg
R3987,Nat Strawberry Flavor MET0006431,Flavor,53,kg
R3989,"Vitamin A Palmitate 500,000 IU/GM",Vitamin,83.75,kg
R3991,"Sodium R-lipoate, 80% R-lipoic Acid",Nutrition,450,kg
R3995,Natural Strawberry Flavor WONF,Flavor,18.98,kg
R3996,BCAA Blend 85% Granulation,AminoAcid,16.5,kg
R3997,Fruit and Vegetable Juice Color,Color,64.85,kg
R3999,Organic Hawthorn Berry Powder,Botanical,36.88,kg
R4000,Organic Eleuthero Root Powder,Botanical,24.05,kg
R4001,Organic Chamomile Flower Powder,Botanical,17.25,kg
R4002,Organic Oregano,Botanical,10.58,kg
R4003,Organic Fenugreek Seed Powder,Botanical,16.92,kg
R4004,Organic Astragalus Root Powder,Botanical,15.21,kg
R4005,Black Pepper Extract 98%,BotExtract,245,kg
R4006,"Lynside Forte Cu 50K, 5% Cu",Botanical,43,kg
R4007,Organic Acacia Gum (Fibregum Bio) - Kosher,Fiber,10.69,kg
R4011,Organic Lavender Powder,Botanical,23.501,kg
R4012,Organic Rose Hips Powder,BotExtract,11.97,kg
R4013,Organic Dandelion Root Powder,Botanical,45,kg
R4014,Organic Freeze Dried Blackberry Powder,Botanical,83.44,kg
R4015,Orgen-I Organic Curry Leaves Extract,BotExtract,130,kg
R4016,Organic Aloe Vera Leaf Powder,BotExtract,101.41,kg
R4017,Organic Coriander Seed Powder,Botanical,7.25,kg
R4018,Nettle Root Extract,BotExtract,70,kg
R4019,Pumpkin Seed Oil Powder,Botanical,23.6,kg
R4020,Organic Cloves Powder,Botanical,31.94,kg
R4021,Organic Peppermint Powder,Botanical,12.99,kg
R4023,Organic Cardamom Seed Powder,Botanical,32.46,kg
R4026,Actazin Kiwifruit,Botanical,165,kg
R4029,Mannan Oligosaccharides 25%,Probiotic,25,kg
R4030,Natural Vanilla WONF Flavor - 10MS823953 Non-GMO PV,Flavor,65.37,kg
R4038,Cantab non-GMO Dextrose - Kosher,Excipient,8.71,kg
R404,"Mg Oxide Heavy USP, NLT 52.1% Mg- Kosher, Halal (Customer Specified)",Mineral,4.7,kg
R4040,KSM-66 Ashwagandha Root Extract,BotExtract,72,kg
R4041,Ginger Root Extract 4:1-Kosher,BotExtract,18,kg
R4050,Cynatine  FLX/HNS Keratin,Nutrition,250,kg
R4056,N-Acetyl L-Cysteine,AminoAcid,31.5,KG
R406,"Magnesium Oxide 96%, Mg 52.1% (Granular)",Mineral,4.65,kg
R4061,RisaPro 1000 Sprouted Brown Rice Protein 80%,Protein,5.45,KG
R4063,DriZoom Natural Vanilla Flavor WONF #ZE04551,Flavor,49.87,KG
R4064,Spirulina Blue Powder,Color,462,KG
R4071,Acacia Gum (Fibregum B),Fiber,5.29,KG
R4076,Vitamin B12 Methylcobalamin 0.855% DCP (Customer Specified),Vitamin,42.11,KG
R4077,"Swerve 10X Sweetener (Erythritol, Oligosaccharides and Natural Flavors)",Excipient,54.44,KG
R4079,Instant Micellar Casein non-GMO PIN 103871,Protein,11.023,KG
R4083,Irvingia gabonensis Extract 7% Albumins,BotExtract,210,KG
R4084,Paradoxine Aframomum Melegueta Extract 12.5% 6-Paradol,BotExtract,175,KG
