ITEMID,DESCRIPTION,COMMODITYCODE
R2193,Acerola 50% powdered extract,BotExtract
R2206,Opadry NS Enteric,Coating
R2206-1,Opadry NS Enteric,Coating
R2206-2,Opadry NS Enteric,Coating
R2206-4,Opadry NS Enteric,Coating
R2210,"Black Catechu, Acacia catechu",Botanical
R2212,"Capsule, Gelatin, Size 00, Blue/White",Capsule
R2225,"L-Aspartic Acid, 98.5%",AminoAcid
R2229,Peppermint Leaf Extract 4:1,BotExtract
R2233,"ZMA  Zn L-Monomethionine, Zn/Mg Aspartat",Mineral
R2245,NeOpuntia ,BotExtract
R2248,Xylitol DC - Kosher,Excipient
R2251,Peppermint Oil,Flavor
R2255,Microlactin - Milk Protein Concentrate,Protein
R2257,Beta  Alanine,AminoAcid
R2260,Green Mate Ext. 30% Caffeine (Customer Specified),BotExtract
R2261,Black Tea leaf Ext 40% polyphenols,BotExtract
R2266,Nutrim   - Kosher,Nutrition
R2267,"Cinnamon Bark Ext, 30% polyphenols",BotExtract
R2272,Dimagnesium Phosphate Grn 13.4% Mg 17% P,Mineral
R2273,"Dipotassium Phosphate 44% K, 17% P",Mineral
R2276,Sodium Phosphate Dibasic Anhydrous 32%Na,Mineral
R228,Ethocel standard 10 premium Ethylcellulo,Excipient
R2280,Lemon Flavor - Natural,Flavor
R2281,Tangerine Flavor - Natural,Flavor
R2282,Natural Orange Flavor,Flavor
R2283,"Vitamin B12, Methylcobalamin, 86.2% (Customer Specified)",Vitamin
R2287,"Vitamin K2, 0.15% Menaquinone - 7",Vitamin
R2314,Acetyl L-Carnitine HCl-  Carnipure,AminoAcid
R2318,"Aquamin TG Calcium 30%, Mg 2.2% - Kosher",Mineral
R2319,"Capsule, Gelatin, Size 0, Purple/White",Capsule
R232,Evening  Primrose Oil Powder,BotExtract
R2320,"Capsule, Gelatin, Size 0, White/Blue",Capsule
R2326,"Capsule, Gelatin, Size 0, White/Red",Capsule
R2330,"Capsule, Gelatin, Size 0, White/Pink",Capsule
R2332,Red Raspberry Leaf 4:1,BotExtract
R2334,L-Histidine Base 98.5%,AminoAcid
R2335,Natural Masking Flavor Powder Wonf,Flavor
R2336,Natural Chocolate Flavor,Flavor
R2337,Natural Vanilla Flavor,Flavor
R2338,Dark Cocoa Powder,Flavor
R2339,Medium Chain Triglycerides-MCT Oil Powder 50% - Kosher,Fat/Facid
R234,Eye Bright Herb Powder,Botanical
R2340,life'sDHA TM S17-P100 17%,BotExtract
R2341,"Capsule, Gelatin, Size 0, Green/Yellow",Capsule
R2342,Natural Strawberry Flavor WONF,Flavor
R2349,Erythritol - Eridex TM,Nutrition
R235,Fructooligosaccharides 90.3% (as is) Kosher,Fiber
R2351,Stevia Suave,BotExtract
R2354,Chapparal Leaf Powder,Botanical
R2357,LycoLutein 5% VBAF (Kosher),Nutrition
R2368,"Capsule, NP, Size 00, Clear/Clear - Kosher, Registered Formula",Capsule
R2369,Lycomato Lycopene 5% VBAF,Nutrition
R237,Fennel Seed Powder,Botanical
R2371,Schizandra Ext. 5:1- Advocare,BotExtract
R2374,L-Tyrosine NLT 98%,AminoAcid
R2375,Bitter Melon Ext. 10:1,BotExtract
R238,Fenugreek Seed Powder,Botanical
R239,Ferrous Fumarate USP 31.4% Fe Kosher,Mineral
R2391,"Capsule, K-Cap, Size 2, Clear/Clear",Capsule
R2393,Elecampane Root Extract 4:1,BotExtract
R2394,Andrographis Extract 10% andrographolide,BotExtract
R2395,Horehound Extract 4:1,BotExtract
R2396,Isatis Root Extract 4:1,BotExtract
R2397,Mullein Leaf Extract 4:1,BotExtract
R2398,"Zinc Ascorbate, 14.3% Zn, 76% Vitamin C",Mineral
R2399,Soloman Root Powder,Botanical
R2400,Boneset Leaf Powder,Botanical
R2401,Isatis  Root and Leaf Powder,Botanical
R2402,Boneset 4:1,BotExtract
R2403,Cranberry 90MX Powder UPC 94513,BotExtract
R2405,"Calcium Citrate Ultrafine Pwd NLT 20.5% - Kosher, Halal (Customer Specified)",Mineral
R2411,Cranberry Powder (Proprietary NSA),Botanical
R2416,Korean Ginseng 80% ginsenosides,BotExtract
R2422,Banaba Leaf 1% Extract Corsolic Acid,BotExtract
R2423,Shilajit Extract 8-10:1,BotExtract
R2425,Holy Basil Powder,Botanical
R2430,Strawberry  powder drum dried w/o seed,Botanical
R2432,Red Currants Fruit Juice Powder,BotExtract
R2446,Tricalcium phosphate Low Density NLT 34%,Mineral
R2447,"Grape Freeze Dried Fruit Powder, Non-dietary",Botanical
R2456,Lactic Acid Purac Powder 58%,Flavor
R2457,Microcrystalline Hydroxyapatite 80 mesh,Mineral
R2459,Mixed Tocopherols 30%,Vitamin
R246,FloraGLO  Lutein 5.0% CWS/S-TG - Vegetar,Nutrition
R2460,Lecithin Pwder (Lecigran 1000P) - Kosher,Nutrition
R2461,"Strontium Citrate Dibasic, NLT 30.6% Sr",Mineral
R2469,DL-Methionine FCC 98.5%,AminoAcid
R2471,"Capsule, NP, Size 0, Clear/Clear",Capsule
R2476,Ligusticum Wallichii Root powder,Botanical
R2478,"Capsule, VCap +, Sz 1, Clr/Clr - Kosher",Capsule
R2485,Natural Vanilla Bean,
R2486,Pomegranate Extract 40% Ellagic Acid,BotExtract
R2489,"Niacinamide Powder 98.5%, WADA (Customer Specified)",Vitamin
R249,"Fo-ti Root Powder, Polygonum multiflorum",Botanical
R2490,Chromax   - Chromium Picolinate 12%,Mineral
R2495,Glutamine Alpha Ketoglutarate 2:1,AminoAcid
R2496,Hypothalamic Peptides Pork,Animal
R2497,Methocel K4M Premium,Excipient
R2501,Pearlitol 200SD,Excipient
R2502,Explotab - Sodium Starch Glycolate,Excipient
R2506,FD&C Yellow #5 Aluminum Lake,Color
R2507,Lemon Flavor Nat. WONF,Flavor
R251,Fructose (Crystalline Corn Sweetener USP) Powder Non-GMO WADA VENDOR EXCLUSIVE,Excipient
R2511,Mucuna Pruriens Ext. 40% L-DOPA,BotExtract
R2512,Crospovidone XL-10,Excipient
R2514,"Amylase Fungal (Aspergillus Oryzae) 140,000 DU/g or SKB/g - Halal (Customer Specified)",Enzyme
R2515,Cellulase 120M CU/g,Enzyme
R2516,"Invertase 10,000 Sumner/g",Enzyme
R2518,"Pectinase 3,500 Endo-PG/g",Enzyme
R2519,Glucoamylase 1000 AG/g,Enzyme
R2522,"Hemicellulase 400,000 HCU/g",Enzyme
R2523,"Maltase 12,000 DP/g",Enzyme
R2524,"Lipase 15,000 FIP Units/g, 150,000 LU/g",Enzyme
R2526,Lycopene 10% DC,Nutrition
R2528,Lactobacillus acidophilus - 150BU/g,Probiotic
R2535,Creatine Pyruvate 98%,Nutrition
R2537,Colloidal Silicon Dioxide,Excipient
R2538,"Glucosamine Sulfate Vegetarian, NLT 72%",Nutrition
R2539,"HoodiaPure 70% Hoodia, 30% Maltodextrin",BotExtract
R254,Gamma Aminobutyric Acid,AminoAcid
R2542,N&A Orange Flavor,Flavor
R2543,N&A Orange Citrus Flavor,Flavor
R2544,Enzyme Blend - Vineyard,Enzyme
R2545,Phosphatidylserine Powder 60%,Nutrition
R2550,"Lactase 100K ALU (FCC) units/g - Kosher, Halal",Enzyme
R2552,Zinc Gluconate  USP (12.8% Zn),Mineral
R2553,Stearic Acid,Excipient
R2557,Ginkgo Biloba Extract 24/6,BotExtract
R2560,"Pot Iodide 23.3% K, 75.7% Iodine Kosher",Mineral
R2565,L-Lysine HCL Powder - Kosher,AminoAcid
R2567,Methocel K4M Food Grade,Excipient
R2568,Creapure-Creatine Mono (87.9% Creatine),Nutrition
R2572,GlycoCarn,Nutrition
R2575,Opadry White #YS-1-18132 - 3% wgt gain,Coating
R2575-1,Opadry White #YS-1-18132 - 2.5% wgt gain,Coating
R2576,"Sharp PS 70P, 70% Powder Phosphatidylse",Nutrition
R2577,Alpha Lipoic Granular 99%,Nutrition
R2580,Zinc Arginate 10%,Mineral
R2586,"Eurycoma Longifolia Jack Ext 4:1,",BotExtract
R2588,DiMagnesium Malate 19%,Mineral
R2589,Magnesium Glycinate Chelate 10% - Kosher,Mineral
R2590,Amla Extract 45% Tannins,BotExtract
R2591,Lacto acidophilus 100 Bil CFU/g - Kosher,Probiotic
R2592,Lactococcus lactis lactis 100 Bil//CFU/g,Probiotic
R2593,Lactobacillus plantarum 100 Bil CFU/g,Probiotic
R2594,Lactobacillus brevis 100 Billion CFU/g,Probiotic
R2595,Lactobacillus helveticus 100 Bil CFU/g,Probiotic
R2596,"Serratiopeptidase 120,000 SU/g",Enzyme
R2597,Lactobacillus casei 100 Billion CFU/g,Probiotic
R2599,"Papain 50,000 USP units/mg - Kosher",Enzyme
R2600,Acid Stable Protease 1K SAPU/g - Koshe,Enzyme
R2601,Super Citrimax HCA-600-SXM Powder,BotExtract
R2604,"Capsule, Gelatin, Size 3 White/White",Capsule
R2605,Coriander Seed Powder,Botanical
R2606,Anise Seed Powder,Botanical
R2607,Vervain Herb Powder,Botanical
R2610,Bifidobacterium bifidum 100 Bill cfu/g,Probiotic
R2611,Streptococcus thermophilus 100 Bil CFU/g,Probiotic
R2612,"Lactobacillus bulgaricus, 50 Bil CFU/g",Probiotic
R2613,Stannous (Tin) Chloride 1% Trit,Mineral
R2624,"Capsule, gelatin, Size 1 Opaque printed",Capsule
R2626,Pomegranate Seed/Fruit Powder,Botanical
R2629,Natural Raspberry Flavor,Flavor
R2630,Ashwagandha Extract NLT 1.0% Alkaloids- Customer Specified,BotExtract
R2634,Cauliflower Powder Whole Plant,Botanical
R2635,Bifidobacterium longum 50 Billion CFU/g,Probiotic
R264,"Capsule, Gelatin, Size 0, White/White",Capsule
R2649,Selenium Yeast 0.12% Se,Mineral
R265,"Capsule, Gelatin, Size 00, White/White",Capsule
R2656,Wild Yam 4:1 Extract,BotExtract
R2658,Sodium Selenite NLT 1% Se,Mineral
R2659,Fenugreek Extract 60% saponins,BotExtract
R266,"Capsule, Gelatin, Size 1, White/White",Capsule
R2660,"Fructus P. corylifoliae, Bu Gu Zhi",Botanical
R2661,Eclipta Prostrata herb pow -Han Lian Cao,Botanical
R2662,Clematis chinensis - Wei Ling Xian,Botanical
R2663,Bupleurum Root Powder - Chai Hu,Botanical
R2666,Caffeine - Natural,Botanical
R2667,Glucosamine Sulfate 2NaCl 75.2% Granular,Nutrition
R2668,"Capsule, VCap Size 00, Dark Green",Capsule
R2669,Chondroitin Sulfate Sodium NLT 90% as-is basis by Enzymatic HPLC (Bovine) (CSb-Bioactive ),Animal
R267,"Capsule, Gelatin, Size 1, Clear/Clear",Capsule
R2671,Bio-Curcumin ,BotExtract
R2674,Yohimbe Extract 8% Yohimbines,BotExtract
R2677,Opadry II Purple,Color
R2681,ResveraPure  50% Resveratrol,BotExtract
R2682,Lutemax  25% Lutein,BotExtract
R2684,D-Mannose,Nutrition
R2686,L-Arginine Alpha Ketoglutarate 1:1 Gran,AminoAcid
R2687,L-Arginine Ethyl Ester Dihydrochloride,AminoAcid
R2689,Benecel K100 M PH,Excipient
R269,"Capsule, Gelatin, Size 0, Clear/Clear",Capsule
R2690,Creatine Ethyl Ester HCL,AminoAcid
R2691,Disodium Creatine Phosphate,AminoAcid
R2692,Creatinol-o-phosphate,AminoAcid
R2693,Beta-Alanine - CarnoSynGlanbia/BSN Pricing,AminoAcid
R2694,"Creatine, Alpha Amino Butyric Acid 2:1",AminoAcid
R2695,EMCOMPRESS ,Excipient
R2696,Magnesium Stearate Veg. NF,Excipient
R2697,L-Citrulline 98.5%,AminoAcid
R2698,"Choline Dihydrogen Citrate 97.8%, 34.5%",AminoAcid
R2699,MALTRIN  M100 Maltodextrin,Excipient
R270,"Capsule, Gelatin, Size 00, Clear/Clear - Kosher",Capsule
R2701,"Sucralose Crystalline Powder, WADA",Excipient
R2703,Bamboo PE 70% silica,BotExtract
R2704,Oregano PE 10:1,BotExtract
R2708,Extramel   Microgranules,BotExtract
R2710,Sodium Phosphate Monobasic USP,Mineral
R2711,Natural Orange Color- Identity Preserved,Color
R2712,ConcenTrace AC,Mineral
R2716,Caffeine 78% microencapsulated,Nutrition
R2717,Non Fat Dry Milk High Heat,Protein
R2719,L-Arginine Pyroglutamate,AminoAcid
R272,Gentian Root Powder,Botanical
R2720,L-Arginine Aspartate,AminoAcid
R2721,Gamma-Butyrobetaine Ethyl Ester HCl,Nutrition
R2722,L-Norvaline,AminoAcid
R2723,Citrulline Malate 2:1  (Customer Specified),AminoAcid
R2724,Magnesium Tanshinoate B (MTB),Mineral
R2725,Wolfberry  (fruit & leaf),Botanical
R2726,Chinese Angelica Root 1% Ligustilide,BotExtract
R2727,White Peony 5:1 Extract,BotExtract
R2728,Milk Vetch Root Ext 0.3 % Astragalosides,BotExtract
R2729,Purslane aboveground parts 5% Flavones,BotExtract
R2736,PEAK ATP  Adenosine 5'Triphosphate,Nutrition
R2737,6-Methyluracil,Nutrition
R2738,GlucoHelp  18% Corsolic Acid Banaba Leaf,BotExtract
R2739,Bis(picolinato)oxovanadium (BPOV) 16%,Mineral
R274,Ginger Root Extract,BotExtract
R2740,Cinnulin PF -Cinnamon extract,BotExtract
R2741,Calcium Silicate - Hubersorb 250 - Kosher,Excipient
R2742,Echinacea Purpurea  4% Polyphenols,BotExtract
R2743,Opadry II Red,Color
R2744,Opadry tm Blue,Color
R2745,Opadry II Light Blue,Color
R2746,"Amyloglucosidase 1000, AG/gram",Enzyme
R276,Ginger Root Powder,Botanical
R2764,Soy Fiber - Fibrim  1020 IP,Fiber
R2768,Viscarin  Carrageenan BV30 (formerly known as Viscarin  Carrageenan SA359),Excipient
R2771,Natural Lemon Juice Flavor,Flavor
R2774,Pineapple Juice Powder,Flavor
R2775,Red No. 40 Lake 16%,Color
R2777,Chia Seed Powder - Black,Botanical
R278,Ginkgo Biloba Leaf Powder,Botanical
R2781,NutriCran 90 spray-dried cranberry conce,BotExtract
R2784,Zinc Aspartate 20%,Mineral
R2785,Green Tea Extract,BotExtract
R2786,Octopamine HCl,Nutrition
R2787,Yerba Mate Extract (Leaf)  Ilex Paraguariensis,BotExtract
R2788,Citrus Aurantium 30% Ext (Advantra Z ),BotExtract
R2789,Naringin 98%,BotExtract
R2790,Evodiamine 98%,BotExtract
R2791,Diiodotyrosine,Nutrition
R2792,Iodotyrosine,Nutrition
R2793,Magnesium Aspartate powder 20%,Mineral
R2794,Inositol Hexaphosphate IP6 Powder,Vitamin
R2795,Tribulus Terrestris 25% Protodioscin,BotExtract
R2796,Safed Musli 50% Saponins,BotExtract
R2798,Tribulus 40% Saponins,BotExtract
R2799,Eurycoma Longifoilia 5:1 Tonkat Ali,BotExtract
R280,American Ginseng Root Powder,Botanical
R2801,Coleus Forskohlii  40% (ForsLean ),BotExtract
R2802,R-Alpha Lipoic Acid,AminoAcid
R2804,White Kidney Bean Extract 10:1 (Customer Specified),BotExtract
R2808,"Potass Iodide, Iodine 5% MinTriT ",Mineral
R2809,Golden Pea Fiber - Kosher,Fiber
R2810,Pea Protein,Protein
R2811,Corn Bran Fiber -  DIETFIBER ,Fiber
R2818,Microcrystalline Cellulose 200 Tabulose,Excipient
R282,Glucosamine Hydrochloride 99%,Nutrition
R2821,Green coffee Ext - Svetol,BotExtract
R2823,Capsimax 2%  (Capsicum annuum L),BotExtract
R2827,OPADRY YS-1-7012,Coating
R2829,Lactobacillus rhamnosus 100 Billion CFU/,Probiotic
R283,"Glucosamine Sulfate 2KCL, 74% G. Sulf",Nutrition
R2830,Lactobacillus salivarius 50 Billion CFU/,Probiotic
R2832,Bifidobacterium breve 100 Billion CFU/g,Probiotic
R2833,Natural Praline Flavor,Flavor
R2834,Natural Vanilla Ice Cream Flavor,Flavor
R2835,Natural Vanilla Custard Flavor,Flavor
R2836,Pantethine 20% granular,Vitamin
R2839,Shitake Mushroom PE 4:1,BotExtract
R2841,Whey Protein Concentrate 80% Instantized,Protein
R2855,Mexican Spray Dried Coffe - Regular,Flavor
R2860,Natural Chocolate Flavor 3308 PDR,Flavor
R2862,Slendesta  Potato Extract 5%,Excipient
R2863,Shark Cartilage,Animal
R2869,Wild Berry Flavor Blend-Identity Preserv,Flavor
R287,Goldenseal Herb Powder,Botanical
R2870,Nat Cherry Flavor - Identity Preserved,Flavor
R2872,Grape Flavor NAT & ART,Flavor
R2873,FD&C Blue #2 Aluminum Lake 12%,Color
R2881,B. Lactis 500B,Probiotic
R2882,Natural Mixed Berry Flavor WONF,Flavor
R2883,L-Carnosine 99-101%,AminoAcid
R289,Gotu Kola Whole Plant 10% Triterpenes,BotExtract
R2892,"Vitamin K2, Menaquinone-4, 1%",Vitamin
R2893,Lemon Oil Powder,Flavor
R2894,Maca Root Powder - Gelantized,Botanical
R2895,"KerryKreem Creamer; made with Sunflower Seed Oil Powder, Kosher, FOOD ONLY",Food
R2896,No Fat Dry Milk Low Heat 34% - Kosher,Protein
R2897,"Guar Gum FG 60-70 - Kosher, Halal",Fiber
R2898,Olive Oil Powder 50% FOOD ONLY - Kosher,Food
R2899,Xanthan Gum Satiaxane CX 800,Fiber
R290,Gotu Kola Powder,Botanical
R2900,"Alpha-Cel BH200 NF, FOOD ONLY - Kosher",Food
R2901,"Cinnamon Ceylon Ground - Kosher, Halal",Botanical
R2902,Natural Vanilla Flavor - Kosher,Flavor
R2903,"Crystals Lemon FD Pwd, FOOD- Kosher",Food
R2906,Chocolate #2 PWD Natural WONF,Flavor
R2910,BevFlax XtraSmooth Flaxseed - Kosher,Botanical
R2913,"Whey Protein Concentrate 480 Instant Grass-Fed, FOOD ONLY - Kosher",Protein
R2914,Calcium Caseinate - Kosher,Protein
R2915,"Natural Cocoa Powder, FOOD ONLY",Food
R2920,Maqui Berry Powder,Botanical
R2921,Molybdenum 1% MinTriT ,Mineral
R2922,Colostrum 40% IgG Powder,Animal
R2924,Acai Extract 10% Polyphenols,BotExtract
R2925,Grape Powder,Botanical
R2926,Opadry II Pink,Color
R2929,Ionic Alfalfa Powder - Kosher,Botanical
R2930,Hyssop PE 4:1,BotExtract
R2931,Octacosanol 10%,Nutrition
R2932,Apple Cider Vinegar,BotExtract
R2936,Terminalia Chebula 6:1 Extract,BotExtract
R2937,"Natural Orange Flavor 860100TD0990B, WADA",Flavor
R2943,"Watermelon PE 4:1, C. lanatus",BotExtract
R2947,"Mervia(TM), Curcuma Phospholipid",BotExtract
R2948,Selenium 1% Trituration,Mineral
R2949,LycoBeads 20% Lycopene VBAF,Nutrition
R2950,Opadry II Yellow (Riboflavin) - 2.5%,Color
R2952,LongJax  20:1,BotExtract
R2953,Mucuna Pruriens PE 15%,BotExtract
R2954,Natural Strawberry Flavor Powder Wonf,Flavor
R2956,Natural Vanilla Powder - Kosher,Flavor
R2957,Natural Butterscotch Flavor 716481,Flavor
R2958,"Nat Chocolate Flavor Pwd - Kosher, FOOD",Food
R2959,"Chocolate Flavor, FOOD ONLY",Food
R2960,"Cream Flavor, FOOD ONLY",Food
R2961,"Natural Irish Cream Flavor, FOOD ONLY - Halal",Food
R2962,"Nat Vanilla Flv Pwd, FOOD ONLY - Kosher",Food
R2963,Vanilla Flavor - Kosher,Flavor
R2966,"Chocolate (Cocoa booster) Nat WONF Kosher, Halal",Flavor
R2968,Vanilla Creamy Powder Natural Flavor,Flavor
R2969,Malted Milk Natural Flavor - Kosher,Flavor
R2970,Natural Anise Flavor Powder,Flavor
R2971,Natural Anise Flavor Powder,Flavor
R2972,Oliggo-Fiber Instant Inulin - Kosher,Fiber
R2973,Conventional Shelled Hemp Seed,Botanical
R2976,Bifidobacterium longum 75 Billion CFU/g,Probiotic
R2978,Organic Apple Juice Powder,BotExtract
R2980,Organic Pomegranate Juice Powder,BotExtract
R2982,Ashwagandha PE 4:1,BotExtract
R2985,Eleuthero PE 4:1,BotExtract
R2987,Shilajit Extract,BotExtract
R299,Grape Seed Extract 85% Polyphenols (Customer Specified),BotExtract
R2994,Calcium Ascorbate 96.0% (120 mesh),Vitamin
R2997,Glucosamine HCl Powder 98.0% (150 mesh),Nutrition
R2999,FD&C Yellow #6 Lake 15-18%,Color
R3000,FD&C Blue #2 Lake 30-36%,Color
R3001,METHOCEL K100M PREMIUM,Excipient
R3010,Alkalised Cocoa Powder - Kosher,BotExtract
R3012,Natural Tangerine Powder Flavor,Flavor
R3013,Chocolate Natural WONF Flavor 704822,Flavor
R3014,Cream Natural Type Flavor 712728,Flavor
R3016,Powdered Nat Milk Type Flavor - Kosher,Flavor
R3019,Aloe Vera 200X (Customer Specified),BotExtract
R3022,Potassium Alginate,Excipient
R3023,Malic Acid Granular 98%,Excipient
R3025,Organic Black Chia Seeds,Botanical
R3026,Dandelion Leaf Powdered Extract 4:1,BotExtract
R3027,Peptizyme SP,Enzyme
R303,Guarana Seed Powder,Botanical
R3031,Calcium Caseinate - FOOD ONLY,Protein
R3032,Whey Protein Concentrate 80% - FOOD ONLY,Protein
R3033,Natural Banana Flavor 12915,Flavor
R3034,"ProDry Spray Dried Honey - Kosher, Halal",Flavor
R3035,"Iron Lactate, 20% Iron",Mineral
R3036,Richmix A (Non-Dairy Base),Food
R3037,Chocolate Flavor Natural & Artificial,Flavor
R3039,"Vanilla Flavor WONF 2147, FOOD ONLY Kosher",Food
R3040,Artichoke Leaf Extract,BotExtract
R3042,Isazyme,Enzyme
R3046,Lynside Forte Mo (fortified yeast)Kosher,Nutrition
R3047,"Meg-3 2014TG Oil (EPA 180mg/g, DHA 120mg/g)",Animal
R3050,Prosweet Natural Flavor,Flavor
R3056,Orange Juice Powder (Spray Dried),BotExtract
R3057,Dried Cranberry Powder,Botanical
R3058,Honey Natural Flavor,Flavor
R3059,Tomato Powder 704PN,Botanical
R306,Gymnema Sylvestre powder,Botanical
R3061,Natural Orange Flavor,Flavor
R3065,CitriSweet- TM,Flavor
R3067,Sunflower Oil Blend Powder - Kosher FOOD,Food
R307,Hawthorn Berry Powder (Crataegus Spp.),Botanical
R3072,Barlean's Greens Pwd Organic Blend - GF,Botanical
R3076,Orange Fruit Powder,Botanical
R3077,Natural Lemon Lime Flavor,Flavor
R3078,Natural Orange Flavor,Flavor
R3079,Natural Orange Flavor,Flavor
R3080,Sugar Natural Type Flavor,Flavor
R3081,Natural Grape Flavor,Flavor
R3083,"Tribasic Calc Phos, Low Al, Ultr-Kosher",Mineral
R3085,Choline Bitartrate Conditioned - Kosher,Nutrition
R3086,"Capsule, Vcaps +, SZ 3, Clr/Clr",Capsule
R3088,Classic Creamy Vanilla 4X Natural,Flavor
R3089,Orange SD Natural,Flavor
R3090,Triple Berry SD Natural - Kosher,Flavor
R3091,Raspberry Extract 4:1,BotExtract
R3092,Fruit Punch Flavor,Flavor
R3093,Blueberry Fruit Extract 4:1,BotExtract
R3094,Burdock Root Extract 20:1,BotExtract
R3095,Fennel Seed Extract 4:1,BotExtract
R3096,Cucumber Flavor,Flavor
R3097,Lime Crystalettes,Flavor
R3098,Mandarin Natural Flavor,Flavor
R3100,Rhodiola Rosae Extract 4:1,BotExtract
R3101,Turmeric Extract 20% Curcumin,BotExtract
R3102,Purple Carrot Extract,BotExtract
R3103,Starfruit Natural Flavor,Flavor
R3104,"L-Histidine HCl, Vegetarian",AminoAcid
R3105,Natural Peach WONF Durarome Flavor,Flavor
R3107,"Chocolate Flavor, WONF, MET0001923",Flavor
R3108,"Cocoa Ext Powder, Theobroma cacao",BotExtract
R3109,"Hibiscus Flower PE 4:1, Hibiscus spp.",BotExtract
R3110,"Natural Coconut Flavor, MET0000607",Flavor
R3111,Natural Hibiscus Flavor MET0001717,Flavor
R3112,Natural Maqui Flavor MET0002179,Flavor
R3113,Citrus Extract,Flavor
R3114,Coyote Brand  Stabilizer XC-0508,Excipient
R3115,Natural Vanilla Type Flavor - Halal,Flavor
R3116,"Potassium Iodide 23.3% K, Granular",Mineral
R3117,Red Orange Complex  H,BotExtract
R3118,Grape Seed Dry Extract,BotExtract
R3119,13% Glucoraphanin Powder - Halal,BotExtract
R3120,"Capsule, Gelatin, Size 1, Clr/Clr - Hala",Capsule
R3123,OptiMSM  Microprill,Nutrition
R3124,Alfalfa Juice Concentrate - Kosher,BotExtract
R3125,L-Valine 98.5%,AminoAcid
R3126,FD&C Blue No. 1 Aluminum Lake,Color
R3128,Cranberry Fruit Powder #705349,BotExtract
R3129,Inosine 98.0%,Nutrition
R314,"Hops Flowers Powder, Humulus lupulus",Botanical
R3148,Tribulus Terrestris Extract,BotExtract
R3149,Cocoa Powder - Food Only,CustOwned
R315,Horehound aerial parts Powder,Botanical
R3150,ID-alG - Seaweed and Grape Seeds Powder,BotExtract
R3152,Zinc Oxide Encapsulated  39.4% Zn,Mineral
R317,Horsetail Herb Powder (Shave Grass),Botanical
R318,Horsetail Dry Extract 7% Silica,BotExtract
R319,Methocel* F4M,Excipient
R3204,"BroccoPhane , Standard Broccoli Sprout",BotExtract
R3205,"Chaste Tree Berry Extract, 0.5% Anguside",BotExtract
R3206,Milk Protein Concentrate - FOOD ONLY,Protein
R3208,Isomalto-oligosaccharide Powder-Kosher,Fiber
R3209,Apple Fruit Powder,Botanical
R3210,Opadry 05A190000 Clear 0.50%,Coating
R3210-1,Opadry 05A190000 Clear 1.00%,Coating
R3212,"Cream Flavor, FOOD ONLY - Kosher",Food
R3213,"Schisandra Extract, WADA",BotExtract
R3214,Rhaponticum carthamoides Extract,BotExtract
R3215,Opadry Clear 20B19225,Coating
R3216,Garcinia cambogia Extract Powder 50%,BotExtract
R3217,Magnesium Stearate - Kosher (RSPO),Excipient
R3218,"Capsule, Gelatin, Size 0, Clear/Clear - Halal",Capsule
R3220,"Calcium Lactate Anhydrous, 18% Calcium",Mineral
R3221,"Tri Sodium Citrate Dihydrate, 20.4% Sodi",Mineral
R3224,"Cupric Oxide, 38.7% Cu, Encapsulated",Mineral
R3226,"Ferrous Citrate, 20% Iron",Mineral
R3227,"Suma Root PE 4:1, P. paniculata, WADA",Botanical
R3228,"Selenium Trit, 2.0% Se",Mineral
R3229,Red Orange Complex  H W,BotExtract
R3232,Vanilla Flavor WONF,Flavor
R3235,"Capsule, Gelatin, Size 1, Clear/Clear",Capsule
R3237,Natural & Artificial Fruit Punch Flavor,Flavor
R3238,Opadry  II Yellow 3% weight gain,Coating
R3238-1,Opadry  II Yellow 4% weight gain,Coating
R3239,Whey Protein Conc Instant 80% FOOD ONLY,Protein
R324,Indole-3-Carbinol 94.0%,Nutrition
R3246,Calcium B-Hydroxy B-Methyl Butyrate Mono,Nutrition
R3249,"Leucoselect  Phytosome, 95% Polyphenols",BotExtract
R3255,L-Citrulline,AminoAcid
R3256,"Dry Vitamin A Palmitate, 250,000 IU/g -",Vitamin
R3257,Oat Powder,Fiber
R3258,Beatreme (Corn Oil Shortening),Fat/Facid
R3259,Non Fat Dry Milk Low Heat,Protein
R3261,"Opadry  II Complete Film Coating, Purple",Coating
R3262,"Vitamin D3, cholecalciferol 100 CWS",Vitamin
R3263,"NS Enteric  Additive For Coating, White",Coating
R3264,Masking Agent Natural Flavor,Flavor
R3265,Kelp Extract,Botanical
R3266,Stevia Extract Powder (97%),BotExtract
R3267,Ticaloid  Ultrasmooth,Excipient
R3269,"AlbumaSoy, Soy Albumin Extract",Protein
R327,Inositol  Granular FCC NLT 97% as is,Nutrition
R3271,Pisane  C9 Pea Protein Isolates NLT 80% (Customer Exclusive),Protein
R3272,"Sodium Iodide, 83.8% Iodine",Mineral
R3273,Natural Vanilla Flavor WONF Kosher,Flavor
R3274,"Catalase 500 Baker Units/g (20,000 CU/g)",Enzyme
R3284,Valerian Root Powder,Botanical
R3292,"Ferrous Bis-Glycinate Chelate, 18% Fe",Mineral
R3295,SaWasabi Wasabia japonica rhizome powde,Botanical
R3296,Organic Manuka Honey Powder,Botanical
R3297,"Momordica Powder Extract, 20%",BotExtract
R3298,"Licorice Root Extract, 26% glycrrhizic",BotExtract
R3299,Tara Gum,Botanical
